iter	Passed	Remaining
0	6	6964
1	10	5034
2	12	4192
3	43	10927
4	46	9224
5	48	8073
6	51	7246
7	53	6628
8	55	6137
9	58	5755
10	60	5436
11	62	5170
12	64	4922
13	67	4725
14	69	4574
15	71	4413
16	74	4289
17	76	4185
18	79	4083
19	81	4000
20	84	3920
21	86	3849
22	89	3782
23	90	3698
24	93	3641
25	95	3587
26	98	3537
27	100	3494
28	103	3449
29	105	3407
30	107	3372
31	109	3313
32	111	3256
33	113	3211
34	115	3185
35	117	3158
36	120	3140
37	123	3117
38	124	3077
39	127	3056
40	130	3040
41	132	3021
42	134	3001
43	137	2982
44	139	2966
45	142	2955
46	144	2938
47	147	2923
48	149	2899
49	151	2885
50	154	2871
51	156	2857
52	159	2847
53	161	2837
54	164	2824
55	166	2812
56	169	2800
57	171	2788
58	174	2780
59	176	2768
60	179	2758
61	181	2748
62	184	2738
63	186	2727
64	188	2718
65	191	2708
66	193	2700
67	195	2685
68	198	2676
69	200	2667
70	203	2658
71	205	2652
72	207	2640
73	209	2622
74	211	2614
75	213	2596
76	215	2588
77	218	2582
78	220	2575
79	223	2568
80	225	2561
81	228	2555
82	230	2548
83	233	2541
84	235	2534
85	237	2528
86	240	2522
87	242	2515
88	245	2509
89	247	2503
90	250	2498
91	252	2493
92	255	2487
93	257	2481
94	259	2475
95	262	2468
96	264	2461
97	266	2455
98	269	2449
99	271	2440
100	273	2436
101	276	2431
102	278	2426
103	281	2423
104	283	2418
105	286	2413
106	288	2408
107	291	2403
108	293	2398
109	295	2390
110	297	2384
111	300	2380
112	302	2376
113	305	2370
114	307	2366
115	309	2361
116	312	2357
117	314	2349
118	316	2345
119	319	2341
120	321	2337
121	324	2333
122	326	2329
123	329	2324
124	331	2320
125	333	2315
126	336	2311
127	338	2307
128	341	2303
129	343	2300
130	346	2296
131	348	2292
132	351	2288
133	353	2284
134	356	2281
135	358	2277
136	360	2273
137	363	2269
138	365	2265
139	368	2262
140	370	2258
141	373	2255
142	375	2251
143	378	2248
144	380	2241
145	382	2238
146	385	2235
147	387	2232
148	390	2228
149	392	2224
150	394	2220
151	397	2217
152	399	2209
153	401	2206
154	404	2202
155	406	2199
156	409	2196
157	411	2192
158	413	2189
159	416	2185
160	418	2182
161	421	2179
162	423	2175
163	426	2172
164	428	2168
165	430	2164
166	433	2161
167	435	2157
168	438	2154
169	440	2151
170	443	2147
171	445	2145
172	448	2141
173	450	2138
174	452	2134
175	455	2131
176	457	2127
177	460	2124
178	462	2122
179	465	2119
180	467	2116
181	470	2113
182	472	2110
183	475	2107
184	477	2104
185	480	2101
186	482	2098
187	485	2095
188	487	2091
189	489	2088
190	492	2085
191	494	2079
192	496	2076
193	499	2073
194	501	2070
195	503	2067
196	506	2064
197	508	2061
198	511	2058
199	513	2055
200	516	2052
201	518	2049
202	521	2046
203	523	2043
204	526	2040
205	528	2036
206	530	2034
207	533	2031
208	535	2028
209	538	2025
210	540	2022
211	543	2019
212	545	2017
213	548	2014
214	550	2011
215	553	2007
216	555	2004
217	558	2002
218	560	1998
219	563	1996
220	565	1993
221	567	1990
222	570	1987
223	572	1984
224	575	1981
225	577	1978
226	580	1975
227	582	1972
228	584	1969
229	587	1966
230	589	1963
231	592	1960
232	594	1957
233	597	1954
234	599	1951
235	601	1948
236	604	1945
237	606	1942
238	609	1940
239	611	1937
240	614	1934
241	616	1931
242	618	1927
243	621	1924
244	623	1922
245	626	1918
246	628	1916
247	630	1911
248	632	1908
249	635	1905
250	637	1903
251	640	1900
252	642	1897
253	645	1894
254	647	1892
255	649	1888
256	652	1886
257	655	1884
258	657	1881
259	659	1878
260	662	1875
261	664	1872
262	667	1870
263	669	1867
264	672	1864
265	674	1861
266	676	1858
267	679	1855
268	681	1851
269	683	1848
270	686	1845
271	688	1841
272	690	1838
273	692	1835
274	695	1833
275	697	1830
276	700	1827
277	702	1824
278	705	1822
279	707	1819
280	710	1816
281	712	1814
282	715	1811
283	717	1809
284	720	1806
285	722	1804
286	725	1801
287	727	1798
288	729	1795
289	732	1793
290	734	1790
291	737	1787
292	739	1785
293	742	1782
294	744	1780
295	747	1777
296	749	1774
297	752	1771
298	754	1769
299	757	1766
300	759	1764
301	762	1761
302	764	1758
303	767	1756
304	769	1753
305	771	1750
306	774	1747
307	776	1745
308	779	1742
309	781	1739
310	783	1736
311	785	1732
312	788	1730
313	790	1727
314	793	1724
315	795	1721
316	797	1719
317	800	1716
318	802	1713
319	804	1710
320	807	1707
321	809	1704
322	812	1702
323	814	1699
324	817	1697
325	819	1694
326	822	1691
327	824	1689
328	826	1686
329	829	1683
330	832	1681
331	834	1679
332	837	1676
333	839	1674
334	842	1671
335	844	1669
336	847	1666
337	849	1664
338	852	1661
339	854	1658
340	856	1655
341	859	1653
342	861	1650
343	864	1648
344	866	1645
345	869	1642
346	871	1640
347	874	1637
348	876	1634
349	878	1632
350	881	1629
351	883	1626
352	886	1624
353	888	1621
354	891	1618
355	893	1616
356	895	1613
357	898	1610
358	900	1608
359	903	1605
360	905	1603
361	908	1600
362	910	1597
363	912	1595
364	915	1592
365	917	1590
366	920	1587
367	922	1584
368	925	1582
369	927	1579
370	930	1576
371	932	1574
372	934	1571
373	937	1568
374	939	1566
375	942	1563
376	944	1561
377	947	1558
378	949	1555
379	952	1553
380	954	1550
381	956	1548
382	959	1545
383	961	1542
384	964	1540
385	966	1537
386	969	1534
387	971	1532
388	973	1529
389	976	1526
390	978	1524
391	981	1521
392	983	1519
393	985	1516
394	988	1514
395	990	1511
396	993	1508
397	996	1506
398	998	1503
399	1000	1501
400	1003	1499
401	1006	1496
402	1008	1494
403	1011	1491
404	1013	1488
405	1015	1486
406	1018	1484
407	1021	1481
408	1023	1479
409	1026	1477
410	1028	1474
411	1031	1472
412	1034	1469
413	1036	1467
414	1039	1464
415	1041	1462
416	1044	1459
417	1046	1457
418	1049	1454
419	1051	1451
420	1053	1449
421	1056	1446
422	1058	1444
423	1061	1441
424	1063	1439
425	1066	1436
426	1068	1434
427	1070	1431
428	1073	1428
429	1075	1426
430	1078	1423
431	1080	1420
432	1083	1418
433	1085	1415
434	1087	1412
435	1090	1410
436	1092	1407
437	1095	1405
438	1097	1402
439	1099	1399
440	1102	1397
441	1104	1394
442	1107	1392
443	1109	1389
444	1112	1387
445	1114	1384
446	1117	1382
447	1119	1379
448	1122	1376
449	1124	1374
450	1126	1371
451	1129	1369
452	1132	1366
453	1134	1364
454	1136	1361
455	1139	1359
456	1141	1356
457	1144	1354
458	1146	1351
459	1149	1348
460	1151	1346
461	1153	1343
462	1156	1341
463	1158	1338
464	1161	1336
465	1163	1333
466	1166	1330
467	1168	1328
468	1170	1325
469	1173	1323
470	1175	1320
471	1178	1318
472	1180	1315
473	1183	1312
474	1185	1310
475	1188	1307
476	1190	1305
477	1192	1302
478	1195	1300
479	1197	1297
480	1200	1294
481	1202	1292
482	1204	1289
483	1207	1287
484	1209	1284
485	1212	1282
486	1214	1279
487	1217	1277
