iter	RMSE
0	0.3911521188
1	0.3836234251
2	0.376404603
3	0.368760087
4	0.3620266783
5	0.3550924574
6	0.3484366127
7	0.3420127858
8	0.3357524321
9	0.3298500003
10	0.3235889506
11	0.3175431349
12	0.3120963417
13	0.3073188589
14	0.3026419755
15	0.2971012956
16	0.2924538658
17	0.2875517524
18	0.2833992146
19	0.2786654798
20	0.2741746325
21	0.2699854134
22	0.2656164624
23	0.2613618736
24	0.2575040701
25	0.2536613795
26	0.2502441219
27	0.2467069099
28	0.2433204311
29	0.2400162661
30	0.2367560001
31	0.233528381
32	0.2305599531
33	0.227596109
34	0.2246504166
35	0.2216119519
36	0.2187877767
37	0.2162191762
38	0.2137732542
39	0.2110270949
40	0.2085312922
41	0.2062976734
42	0.2042299874
43	0.2018601139
44	0.1995591332
45	0.1974080592
46	0.195331986
47	0.1935128126
48	0.1915799946
49	0.1895189095
50	0.1877831751
51	0.1860520161
52	0.1844643018
53	0.1828850283
54	0.1813992199
55	0.1798605029
56	0.1784690143
57	0.1770847603
58	0.1757220414
59	0.1742486176
60	0.1728892984
61	0.1715579719
62	0.1703943344
63	0.169206106
64	0.1681547241
65	0.1668474838
66	0.1655254415
67	0.1644501769
68	0.1634547029
69	0.1622585019
70	0.1612320704
71	0.1602666641
72	0.1592760226
73	0.1583040717
74	0.1572875434
75	0.1561910737
76	0.1552035262
77	0.1543953328
78	0.1535556137
79	0.152739394
80	0.1520151089
81	0.1512301143
82	0.1504613252
83	0.1496644117
84	0.1488796838
85	0.1482110659
86	0.1475924238
87	0.146801906
88	0.1461379339
89	0.145420129
90	0.1447076462
91	0.1441603635
92	0.1434882192
93	0.1429470035
94	0.1423741345
95	0.1418565257
96	0.1413891547
97	0.1408108412
98	0.1403056791
99	0.1398499031
100	0.1393696196
101	0.1388883561
102	0.1384331007
103	0.1379092042
104	0.137539287
105	0.1370240455
106	0.1366012398
107	0.1360344422
108	0.1355536221
109	0.1350743026
110	0.1346144003
111	0.134183853
112	0.133752776
113	0.1333447187
114	0.1329616992
115	0.1325609259
116	0.1322342959
117	0.1317852923
118	0.1314822709
119	0.1310743764
120	0.1307349578
121	0.1304327202
122	0.1299416395
123	0.1295427176
124	0.1291817946
125	0.1286471505
126	0.128400132
127	0.1279796837
128	0.127481574
129	0.1271927799
130	0.1269684972
131	0.1266155114
132	0.1262716826
133	0.1258794443
134	0.1256177218
135	0.1252986022
136	0.1250350869
137	0.124751097
138	0.1244788786
139	0.1242324116
140	0.1237855209
141	0.1236154451
142	0.1233907869
143	0.1231565343
144	0.1228775765
145	0.1226748388
146	0.1224008373
147	0.1220979819
148	0.1217101808
149	0.1214947266
150	0.1213111154
151	0.1211959971
152	0.1209594151
153	0.1206680536
154	0.1204485329
155	0.1201760955
156	0.1199003405
157	0.1197594304
158	0.119531895
159	0.1192663858
160	0.118950895
161	0.1188070132
162	0.1186289537
163	0.11843487
164	0.1182094276
165	0.11799902
166	0.1178278656
167	0.1176821871
168	0.1175197736
169	0.1173224748
170	0.1172151108
171	0.1169437088
172	0.1167392272
173	0.116465378
174	0.1162887052
175	0.1161069769
176	0.1159116631
177	0.1157365523
178	0.115583049
179	0.1153856926
180	0.1151951597
181	0.1149543125
182	0.1147446323
183	0.1146460147
184	0.1144462593
185	0.11428912
186	0.1140848524
187	0.1139170609
188	0.1137038216
189	0.1135444903
190	0.1133461712
191	0.1131789231
192	0.1130281527
193	0.1128252431
194	0.1126444743
195	0.1124783508
196	0.1122809779
197	0.1119508634
198	0.1117257518
199	0.1115577981
200	0.1113917615
201	0.1112285846
202	0.1111257179
203	0.1110094639
204	0.110875439
205	0.1106900642
206	0.110526778
207	0.1104408559
208	0.110301158
209	0.1101108936
210	0.1099542714
211	0.1098436844
212	0.1097336918
213	0.1096145684
214	0.1094419566
215	0.1093393907
216	0.1091623872
217	0.1089281924
218	0.1088047962
