iter	Passed	Remaining
0	59	59700
1	65	32873
2	67	22567
3	73	18382
4	76	15143
5	81	13560
6	83	11901
7	86	10675
8	93	10326
9	98	9753
10	100	9002
11	104	8572
12	107	8171
13	109	7700
14	114	7519
15	118	7260
16	120	6952
17	123	6763
18	129	6663
19	130	6394
20	131	6149
21	133	5921
22	134	5717
23	136	5531
24	137	5358
25	138	5200
26	174	6294
27	176	6123
28	177	5956
29	179	5801
30	180	5652
31	182	5511
32	183	5378
33	184	5255
34	186	5137
35	188	5036
36	189	4929
37	190	4827
38	192	4733
39	193	4644
40	194	4558
41	196	4477
42	197	4402
43	201	4375
44	258	5494
45	267	5557
46	273	5555
47	283	5629
48	290	5644
49	295	5606
50	299	5581
51	304	5542
52	314	5616
53	321	5628
54	325	5589
55	335	5656
56	337	5589
57	342	5561
58	344	5491
59	345	5417
60	347	5344
61	348	5273
62	350	5206
63	351	5142
64	353	5081
65	354	5021
66	356	4967
67	359	4925
68	361	4870
69	364	4849
70	366	4797
71	368	4747
72	371	4721
73	373	4678
74	375	4632
75	378	4604
76	381	4571
77	383	4527
78	384	4487
79	388	4468
80	390	4426
81	401	4492
82	403	4458
83	408	4456
84	414	4461
85	419	4455
86	422	4429
87	428	4444
88	432	4426
89	443	4479
90	446	4457
91	449	4434
92	451	4403
93	462	4454
94	466	4443
95	478	4501
96	482	4488
97	484	4461
98	489	4452
99	492	4429
100	498	4433
101	501	4418
102	510	4445
103	514	4430
104	516	4402
105	528	4457
106	531	4434
107	533	4406
108	535	4378
109	548	4436
110	550	4406
111	553	4386
112	560	4402
113	565	4391
114	567	4363
115	568	4335
116	570	4305
117	572	4278
118	574	4251
119	576	4225
120	577	4197
121	579	4171
122	581	4146
123	583	4120
124	585	4095
125	586	4069
126	588	4043
127	590	4021
128	592	3997
129	593	3974
130	595	3950
131	597	3926
132	598	3904
133	600	3883
134	602	3861
135	604	3842
136	606	3821
137	608	3800
138	610	3780
139	612	3760
140	613	3740
141	615	3720
142	617	3701
143	619	3680
144	620	3661
145	622	3642
146	624	3623
147	626	3604
148	627	3585
149	629	3567
150	632	3556
151	636	3551
152	638	3534
153	641	3525
154	646	3526
155	652	3531
156	662	3554
157	666	3552
158	668	3538
159	676	3553
160	681	3549
161	685	3545
162	693	3558
163	695	3543
164	697	3529
165	707	3554
166	709	3539
167	715	3541
168	720	3542
169	724	3537
170	728	3533
171	731	3521
172	738	3531
173	743	3530
174	745	3515
175	748	3504
176	752	3498
177	765	3534
178	767	3521
179	769	3504
180	770	3488
181	772	3473
182	774	3457
183	775	3441
184	777	3426
185	779	3411
186	781	3397
187	782	3381
188	784	3365
189	786	3351
190	787	3336
191	789	3321
192	791	3310
193	793	3296
194	794	3281
195	800	3282
196	805	3283
197	809	3280
198	816	3284
199	820	3280
200	825	3279
201	838	3311
202	842	3307
203	850	3318
204	854	3314
205	856	3302
206	858	3287
207	861	3279
208	865	3276
209	870	3275
210	880	3294
211	891	3312
212	893	3301
213	897	3295
214	900	3286
215	902	3274
216	918	3312
217	919	3298
218	920	3283
219	922	3269
220	923	3255
221	925	3242
222	929	3237
223	931	3225
224	947	3263
225	948	3249
226	950	3235
227	951	3222
228	952	3208
229	954	3194
230	955	3181
231	956	3167
232	958	3154
233	961	3146
234	964	3139
235	968	3134
236	971	3128
237	975	3123
238	979	3117
239	982	3112
240	986	3106
241	1024	3209
242	1026	3196
243	1027	3183
244	1028	3170
245	1030	3158
246	1032	3149
247	1035	3141
248	1060	3198
249	1061	3185
250	1063	3172
251	1064	3160
252	1066	3147
253	1067	3134
254	1068	3122
255	1070	3112
256	1076	3112
257	1078	3101
258	1079	3089
259	1081	3078
260	1083	3069
261	1087	3064
262	1089	3054
263	1094	3050
264	1099	3048
265	1104	3049
266	1107	3039
267	1111	3035
268	1114	3027
269	1116	3019
270	1118	3009
271	1120	2998
272	1123	2991
273	1125	2981
274	1127	2972
275	1132	2969
276	1136	2965
277	1139	2960
278	1141	2950
279	1146	2947
280	1148	2938
281	1154	2939
282	1156	2930
283	1162	2930
284	1166	2926
285	1171	2924
286	1174	2916
287	1176	2908
288	1186	2919
289	1188	2909
290	1194	2911
291	1196	2901
292	1198	2891
293	1206	2896
294	1207	2886
295	1209	2877
296	1212	2869
297	1214	2860
298	1221	2863
299	1222	2853
300	1239	2878
301	1240	2868
302	1242	2857
303	1243	2847
304	1244	2836
305	1249	2832
306	1250	2822
307	1251	2812
308	1253	2802
309	1257	2799
310	1260	2791
311	1266	2791
312	1267	2781
313	1269	2772
314	1275	2773
315	1276	2762
316	1278	2754
317	1281	2748
318	1284	2741
319	1287	2736
320	1289	2727
321	1290	2717
322	1300	2725
323	1301	2716
324	1303	2707
325	1305	2698
326	1307	2691
327	1311	2687
328	1313	2679
329	1316	2671
330	1336	2701
331	1338	2693
332	1340	2685
333	1342	2676
334	1345	2670
335	1350	2669
336	1352	2660
337	1360	2664
338	1362	2656
339	1363	2647
340	1365	2639
341	1367	2631
342	1376	2636
343	1383	2637
344	1386	2632
345	1388	2625
346	1392	2620
347	1403	2630
348	1405	2621
349	1408	2614
350	1409	2605
351	1410	2597
352	1412	2589
353	1416	2584
354	1419	2579
355	1423	2574
356	1425	2567
357	1427	2559
358	1429	2552
359	1431	2544
360	1434	2539
361	1438	2535
362	1442	2531
363	1446	2527
364	1447	2518
365	1448	2509
366	1450	2501
367	1451	2493
368	1453	2484
369	1454	2476
370	1458	2472
371	1459	2464
372	1499	2520
373	1506	2521
374	1508	2514
375	1539	2555
376	1541	2547
377	1543	2540
378	1545	2532
379	1551	2531
380	1556	2529
381	1561	2526
382	1565	2521
383	1568	2516
384	1581	2526
385	1588	2526
386	1596	2528
387	1601	2525
388	1603	2518
389	1605	2510
390	1616	2518
391	1622	2515
392	1623	2507
393	1628	2505
394	1632	2499
395	1636	2496
396	1641	2493
397	1643	2486
398	1646	2480
399	1647	2471
400	1649	2463
401	1651	2456
402	1657	2456
403	1659	2447
404	1660	2439
405	1663	2433
406	1666	2427
407	1669	2422
408	1673	2418
409	1677	2413
410	1679	2407
411	1681	2399
412	1685	2395
413	1689	2391
414	1691	2384
415	1695	2380
416	1700	2377
417	1703	2371
418	1705	2364
419	1709	2360
420	1712	2355
421	1716	2351
422	1727	2356
423	1729	2350
424	1731	2342
425	1738	2342
426	1740	2334
427	1741	2327
428	1743	2320
429	1751	2321
430	1753	2314
431	1754	2307
432	1756	2300
433	1762	2298
434	1766	2294
435	1780	2303
436	1782	2296
437	1784	2289
438	1786	2282
439	1787	2274
440	1792	2272
441	1796	2267
442	1804	2268
443	1805	2261
444	1809	2256
445	1810	2249
446	1812	2242
447	1814	2235
448	1815	2228
449	1817	2221
450	1818	2213
451	1824	2212
452	1826	2205
453	1827	2197
454	1829	2191
