iter	Passed	Remaining
0	821	4106084
1	1280	3198888
2	1714	2856518
3	2047	2557525
4	2442	2439840
5	2742	2282911
6	2959	2110739
7	3177	1982588
8	3442	1908867
9	3732	1862608
10	3967	1799440
11	4373	1817941
12	4937	1894105
13	5185	1846871
14	5457	1813648
15	5713	1779852
16	5982	1753684
17	6238	1726706
18	6504	1705309
19	6792	1691424
20	7098	1682956
21	7382	1670353
22	7648	1655005
23	7969	1652402
24	8270	1645762
25	8502	1626661
26	8739	1609743
27	9010	1599947
28	9274	1589754
29	9533	1579414
30	9817	1573708
31	10089	1566357
32	10346	1557319
33	10641	1554333
34	10903	1546804
35	11138	1535813
36	11369	1524989
37	11647	1520877
38	11874	1510469
39	12121	1503018
40	12374	1496699
41	12659	1494480
42	12955	1493467
43	13208	1487753
44	13507	1487376
45	13732	1478976
46	13964	1471635
47	14223	1467382
48	14495	1464663
49	14795	1464710
50	15067	1462185
51	15338	1459491
52	15610	1457122
53	15861	1452820
54	16086	1446342
55	16332	1441921
56	16689	1447279
57	17011	1449457
58	17244	1444147
59	17595	1448718
60	17850	1445323
61	18125	1443617
62	18459	1446543
63	18718	1443663
64	19002	1442696
65	19281	1441431
66	19587	1442130
67	19801	1436202
68	20034	1431740
69	20243	1425723
70	20513	1424119
71	20768	1421500
72	21041	1420161
73	21320	1419279
74	21557	1415602
75	21874	1417266
76	22108	1413481
77	22360	1411008
78	22624	1409284
79	22887	1407601
80	23187	1408156
81	23584	1414483
82	23888	1415173
83	24214	1417148
84	24541	1419100
85	24785	1416204
86	25117	1418390
87	25415	1418666
88	25709	1418623
89	25979	1417310
90	26273	1417307
91	26602	1419175
92	26918	1420308
93	27247	1422089
94	27514	1420606
95	27831	1421731
96	28099	1420348
97	28327	1416956
98	28558	1413782
99	28878	1415039
100	29166	1414705
101	29408	1412172
102	29676	1410934
103	29956	1410244
104	30234	1409485
105	30522	1409219
106	30740	1405718
107	31043	1406143
108	31329	1405785
109	31610	1405223
110	31900	1405061
111	32245	1407265
112	32498	1405471
113	32764	1404277
114	33026	1402891
115	33337	1403609
116	33694	1406221
117	34059	1409154
118	34362	1409453
119	34749	1413144
120	35029	1412483
121	35368	1414165
122	35702	1415632
123	36001	1415654
124	36315	1416286
125	36592	1415476
126	36859	1414299
127	37209	1416271
128	37490	1415625
129	37825	1417015
130	38028	1413425
131	38334	1413714
132	38619	1413228
133	38903	1412709
134	39239	1414059
135	39469	1411609
136	39744	1410777
137	40035	1410530
138	40340	1410772
139	40624	1410247
140	40946	1411040
141	41298	1412874
142	41678	1415602
143	42121	1420446
144	42501	1423081
145	42851	1424670
146	43230	1427180
147	43651	1431058
148	44035	1433666
149	44332	1433413
150	44650	1433832
151	44974	1434465
152	45249	1433493
153	45574	1434132
154	45902	1434814
155	46241	1435855
156	46575	1436728
157	46829	1435109
158	47133	1435038
159	47403	1433966
160	47680	1433065
161	47993	1433280
162	48271	1432449
163	48600	1433135
164	48927	1433734
165	49223	1433403
166	49501	1432588
167	49809	1432627
168	50129	1433000
169	50442	1433152
170	50768	1433677
171	51080	1433811
172	51617	1440229
173	52065	1444057
174	52492	1447305
175	52958	1451556
176	53273	1451633
177	53616	1452463
178	53956	1453198
179	54302	1454099
180	54701	1456389
181	55035	1456936
182	55347	1456872
183	55680	1457372
184	55977	1456926
185	56239	1455564
186	56505	1454343
187	56807	1454033
188	57077	1452919
189	57390	1452882
190	57682	1452335
191	58025	1453044
192	58304	1452168
193	58572	1451029
194	58853	1450216
195	59211	1451278
196	59522	1451205
197	59813	1450616
198	60139	1450897
199	60413	1449933
200	60733	1450054
201	61045	1449977
202	61355	1449857
203	61666	1449769
204	61972	1449549
205	62258	1448869
206	62552	1448385
207	62856	1448117
208	63169	1448052
209	63507	1448572
210	63776	1447505
211	64098	1447649
212	64431	1448043
213	64785	1448885
214	65095	1448745
215	65426	1449071
216	65701	1448147
217	66071	1449334
218	66399	1449575
219	66694	1449087
220	67024	1449361
221	67367	1449917
222	67802	1452433
223	68318	1456646
224	68871	1461608
225	69296	1463806
226	69797	1467582
227	70324	1471888
228	70773	1474505
229	71266	1477995
230	71714	1480546
231	72132	1482456
232	72602	1485381
233	73087	1488607
234	73352	1487338
235	73635	1486444
236	73934	1485867
237	74280	1486236
238	74575	1485588
239	74870	1484932
240	75224	1485454
241	75582	1486047
242	75933	1486490
243	76290	1487047
244	76573	1486154
245	76916	1486432
246	77214	1485836
247	77507	1485134
248	77851	1485440
249	78137	1484616
250	78486	1484988
251	78798	1484671
252	79106	1484260
253	79420	1483983
254	79776	1484474
255	80101	1484388
256	80400	1483813
257	80672	1482752
258	80961	1482003
259	81292	1482023
260	81585	1481351
261	81910	1481263
262	82151	1479663
263	82458	1479249
264	82728	1478191
265	82988	1476951
266	83292	1476486
267	83551	1475237
268	83879	1475213
269	84217	1475374
270	84523	1474942
271	84850	1474902
272	85184	1474968
273	85479	1474368
274	85812	1474406
275	86125	1474114
276	86504	1474955
277	86808	1474501
278	87097	1473782
279	87424	1473733
280	87762	1473847
281	88083	1473683
282	88408	1473586
283	88744	1473650
284	89048	1473201
285	89329	1472368
286	89646	1472140
287	89912	1471069
288	90181	1470051
289	90505	1469929
290	90876	1470569
291	91196	1470387
292	91545	1470666
293	91878	1470675
294	92158	1469850
295	92448	1469173
296	92762	1468895
297	93126	1469403
298	93462	1469460
299	93793	1469437
300	94187	1470391
301	94532	1470568
302	94863	1470536
303	95172	1470168
304	95511	1470253
305	95873	1470681
306	96183	1470329
307	96506	1470151
308	96833	1470045
309	97157	1469903
310	97474	1469635
311	97798	1469481
312	98058	1468374
313	98374	1468100
314	98745	1468637
315	99084	1468705
316	99430	1468866
317	99742	1468533
318	100053	1468178
319	100384	1468130
320	100706	1467929
321	100999	1467311
322	101398	1468243
323	101688	1467576
324	102016	1467474
325	102348	1467406
326	102680	1467363
327	102993	1467023
328	103303	1466652
329	103561	1465557
330	103881	1465324
331	104177	1464760
332	104519	1464843
333	104873	1465086
334	105212	1465121
335	105555	1465210
336	105914	1465515
337	106303	1466228
338	106701	1467064
339	107021	1466818
340	107371	1466997
341	107706	1466951
342	108009	1466473
343	108410	1467321
344	108729	1467059
345	109012	1466316
346	109391	1466850
347	109697	1466420
348	109961	1465418
349	110268	1465000
350	110696	1466173
351	111132	1467452
352	111547	1468448
353	111900	1468617
354	112235	1468549
355	112692	1470061
356	113164	1471768
357	113668	1473874
358	114237	1476809
359	114724	1478676
360	115129	1479465
361	115317	1477464
362	115690	1477848
363	116006	1477484
364	116338	1477345
365	116631	1476689
366	116925	1476062
367	117247	1475790
368	117554	1475330
369	117900	1475355
370	118197	1474755
371	118559	1474982
372	118851	1474327
373	119134	1473576
374	119525	1474143
375	119834	1473706
376	120170	1473599
377	120515	1473606
378	120824	1473162
379	121162	1473086
380	121561	1473732
381	121914	1473828
382	122263	1473863
383	122578	1473495
384	122987	1474249
385	123373	1474727
386	123734	1474901
387	124069	1474765
388	124396	1474535
389	124711	1474148
390	125051	1474070
391	125396	1474047
392	125727	1473860
393	126075	1473862
394	126466	1474379
395	126787	1474059
396	127106	1473734
397	127441	1473587
398	127836	1474123
399	128224	1474580
400	128575	1474615
401	128928	1474655
402	129211	1473907
403	129372	1471771
404	129727	1471843
405	130076	1471852
406	130441	1472032
407	130779	1471914
408	131126	1471886
409	131437	1471463
410	131760	1471160
411	132055	1470557
412	132347	1469918
413	132667	1469598
414	133015	1469582
415	133334	1469247
416	133673	1469120
417	133828	1466987
418	134179	1467010
419	134507	1466775
420	134837	1466559
421	135173	1466404
422	135533	1466512
423	135941	1467141
424	136349	1467767
425	136677	1467516
426	137056	1467818
427	137390	1467636
428	137742	1467646
429	138103	1467747
430	138450	1467699
431	138800	1467689
432	139125	1467408
433	139427	1466879
434	139771	1466792
435	140112	1466684
436	140411	1466128
437	140576	1464174
438	140874	1463620
439	141165	1462989
440	141497	1462782
441	141797	1462248
442	142141	1462167
443	142462	1461849
444	142776	1461457
445	143089	1461057
446	143427	1460906
447	143715	1460248
448	144019	1459764
449	144313	1459167
450	144638	1458894
451	144974	1458724
452	145286	1458313
453	145667	1458598
454	145970	1458100
455	146328	1458147
456	146771	1459040
457	147083	1458635
458	147413	1458395
459	147738	1458117
460	148080	1457999
461	148411	1457776
462	148697	1457105
463	148984	1456449
464	149272	1455808
465	149610	1455653
466	149923	1455255
467	150301	1455480
468	150649	1455418
469	150965	1455054
470	151308	1454934
471	151707	1455363
472	152033	1455081
473	152384	1455051
474	152752	1455167
475	153077	1454878
476	153365	1454235
477	153672	1453784
478	154032	1453826
479	154363	1453591
480	154642	1452864
481	154923	1452164
482	155218	1451600
483	155578	1451634
484	155883	1451165
485	156172	1450543
486	156430	1449630
487	156800	1449757
488	157123	1449458
489	157434	1449039
490	157899	1450034
491	158195	1449481
492	158496	1448975
493	158817	1448648
494	159164	1448555
495	159477	1448160
496	159850	1448300
497	160220	1448421
498	160569	1448347
499	160864	1447777
500	161173	1447347
501	161434	1446479
502	161832	1446837
503	162196	1446891
504	162714	1448321
505	163007	1447740
506	163367	1447748
507	163762	1448074
508	164128	1448139
509	164482	1448090
510	164787	1447614
511	165108	1447282
512	165453	1447155
513	165775	1446830
514	166105	1446569
515	166433	1446291
516	166692	1445419
517	167017	1445120
518	167352	1444909
519	167732	1445082
520	168015	1444419
521	168130	1442310
522	168461	1442065
523	168799	1441883
524	169154	1441843
525	169457	1441356
526	169790	1441126
527	170116	1440832
528	170420	1440360
529	170745	1440059
530	171083	1439868
531	171415	1439632
532	171741	1439344
533	172070	1439076
534	172407	1438879
535	172635	1437771
536	172991	1437731
537	173334	1437579
538	173653	1437233
539	173854	1435906
540	174240	1436111
541	174529	1435524
542	174835	1435066
543	175129	1434519
544	175486	1434484
545	175782	1433943
546	176090	1433508
547	176393	1433039
548	176542	1431314
549	176879	1431114
550	177196	1430759
551	177505	1430335
552	177786	1429689
553	177984	1428370
554	178327	1428224
555	178652	1427932
556	178956	1427477
557	179281	1427182
558	179574	1426640
559	179891	1426283
560	180189	1425776
561	180531	1425621
562	180868	1425427
563	181197	1425166
564	181509	1424765
565	181827	1424420
566	182095	1423685
567	182500	1424018
568	182795	1423491
569	183186	1423710
570	183481	1423188
571	183863	1423331
572	184164	1422858
573	184485	1422528
