iter	Logloss
0	0.6883850037
1	0.6841161698
2	0.6797177945
3	0.6754835365
4	0.6711007175
5	0.6668594503
6	0.6628907175
7	0.658624753
8	0.6547612552
9	0.6515400337
10	0.6478917334
11	0.6442316439
12	0.6414742335
13	0.6386559713
14	0.6360352535
15	0.6327510304
16	0.6302057393
17	0.6283583522
18	0.6254091098
19	0.6226199413
20	0.6200734706
21	0.6176766783
22	0.614872701
23	0.6127068337
24	0.6101161238
25	0.6074141422
26	0.6049156074
27	0.6022725108
28	0.6004694278
29	0.5983751348
30	0.5960525963
31	0.5938394207
32	0.592274794
33	0.5905388721
34	0.5887480521
35	0.5871959018
36	0.5857217785
37	0.5839999395
38	0.5819886198
39	0.5806429938
40	0.579326663
41	0.577775685
42	0.575859634
43	0.5745602493
44	0.572848738
45	0.5717097741
46	0.5702627414
47	0.5690745435
48	0.5679099295
49	0.5666795935
50	0.5658554747
51	0.5648005493
52	0.5637395193
53	0.5627513053
54	0.5616661191
55	0.5604024692
56	0.5593555704
57	0.5584496781
58	0.5576620537
59	0.5567039727
60	0.5556706322
61	0.5545471578
62	0.5535150604
63	0.5524582328
64	0.5517921909
65	0.5508909841
66	0.5501151287
67	0.549549496
68	0.5490231433
69	0.5482390118
70	0.5473083219
71	0.5467261749
72	0.5460529247
73	0.5452985017
74	0.5447494589
75	0.5442134728
76	0.5432980204
77	0.5426773604
78	0.5418712563
79	0.541134704
80	0.5405030947
81	0.5400918119
82	0.5393555014
83	0.5389928184
84	0.5385164476
85	0.5378284197
86	0.5371383353
87	0.5364758155
88	0.5356662981
89	0.5351700476
90	0.5347562744
91	0.5344068275
92	0.5338188668
93	0.5334978489
94	0.5331748378
95	0.5327411106
96	0.5323355731
97	0.531646499
98	0.5312483757
99	0.5309256654
100	0.5303421853
101	0.529747352
102	0.529459481
103	0.5291627379
104	0.5286520367
105	0.5281252449
106	0.5276147396
107	0.5271094973
108	0.5267688985
109	0.5262995071
110	0.525869727
111	0.5256137124
112	0.5253179208
113	0.5249834977
114	0.524758129
115	0.5242543462
116	0.5240034404
117	0.5236292392
118	0.5232986984
119	0.5228979994
120	0.5224287777
121	0.5220791277
122	0.5217688556
123	0.5214275899
124	0.5209632817
125	0.5207904989
126	0.5204603669
127	0.5202333463
128	0.5199713143
129	0.5197926311
130	0.5194658303
131	0.5192166439
132	0.518827145
133	0.5185189638
134	0.5181050383
135	0.5179097942
136	0.5177394824
137	0.5173944344
138	0.5171582124
139	0.5169669255
140	0.5168396369
141	0.5165072846
142	0.5163410901
143	0.516183666
144	0.5160206218
145	0.5157480971
146	0.5154214703
147	0.5152764423
148	0.5150079416
149	0.5147926334
150	0.5146616157
151	0.5144579652
152	0.5142181174
153	0.5140689953
154	0.5139556985
155	0.5137337836
156	0.5134577123
157	0.5131948745
158	0.5130529702
159	0.5129050461
160	0.5126516792
161	0.5124340906
162	0.5122495101
163	0.5119927888
164	0.5117766824
165	0.511634489
166	0.5115206049
167	0.5114398875
168	0.5113150392
169	0.5111990271
170	0.5110317692
171	0.5108760686
172	0.5107091663
173	0.5105945044
174	0.5104039823
175	0.5102791647
176	0.5102075658
177	0.5100005306
178	0.5097934475
179	0.5095487791
180	0.5094512184
181	0.5093683585
182	0.5092007661
183	0.5090892039
184	0.5089919782
185	0.508869843
186	0.5086504655
187	0.5085288365
188	0.5084579994
189	0.5083670536
190	0.5081869174
191	0.508027176
192	0.5078559922
193	0.5077797328
194	0.5076708622
195	0.5075789269
196	0.5074946985
197	0.5073452428
198	0.5071652512
199	0.507091016
200	0.5069132518
201	0.5068293136
202	0.5067513389
203	0.5066285523
204	0.5065004753
205	0.5063267239
206	0.5062386664
207	0.5061394919
208	0.5060646458
209	0.5060083478
210	0.5059472518
211	0.5058718387
212	0.5058267729
213	0.5056637097
214	0.5055539349
215	0.5055011282
216	0.5054469043
217	0.5053206674
218	0.5052480996
219	0.505158862
220	0.5051127424
221	0.5049767177
222	0.5049038731
223	0.5048630286
224	0.5048283696
225	0.504697441
226	0.5046446422
227	0.5046112443
228	0.5045597822
229	0.5044346089
230	0.5043350782
231	0.5041869389
232	0.5040891366
233	0.5039694532
234	0.5038946636
235	0.5037880639
236	0.5037551053
237	0.5037049361
238	0.5036241074
239	0.5035699928
240	0.5035203421
241	0.5035073139
242	0.5033465844
243	0.5032834991
244	0.5032443444
245	0.503197025
246	0.5031049577
247	0.5030119611
248	0.5029743366
249	0.5028248412
250	0.5027650535
251	0.5027103709
252	0.502573563
253	0.5025639976
254	0.5025014477
255	0.5024541645
256	0.5023997219
257	0.5022898062
258	0.5021657757
259	0.5021322645
260	0.5020944531
261	0.5019874202
262	0.5019403748
263	0.5018161353
264	0.5017682589
265	0.5017201777
266	0.5016731444
267	0.5015429355
268	0.501412414
269	0.5013650343
270	0.5013160731
271	0.5012571228
272	0.5011755725
273	0.5010169059
274	0.500982087
275	0.5009435647
276	0.5008973127
277	0.5008568744
278	0.5007863328
279	0.5007155574
280	0.5006788952
281	0.5006126005
282	0.5005691167
283	0.5004873593
284	0.5004701767
285	0.5003647713
286	0.5003544219
287	0.5003317839
288	0.5002955984
289	0.5002606476
290	0.5001798916
291	0.5001385291
292	0.5000969127
293	0.5000689104
294	0.5000353558
295	0.4999610844
296	0.4999001867
297	0.4998271079
298	0.4997866847
299	0.4997343925
300	0.4996966272
301	0.4996691246
302	0.4996409653
303	0.4996034059
304	0.4995489776
305	0.4995051528
306	0.4994570475
307	0.4994168266
308	0.4993508733
309	0.4993086945
310	0.4992282241
311	0.4992052178
312	0.4991272282
313	0.4990851829
314	0.498988537
315	0.4989513466
316	0.4989196515
317	0.4988903904
318	0.4988711907
319	0.4988487536
320	0.4988045084
321	0.4987566228
322	0.4987006826
323	0.4986691034
324	0.4986382446
325	0.498568939
326	0.4984100895
327	0.4982539242
328	0.4982156847
329	0.4981433166
330	0.4981256593
331	0.4980819328
332	0.4980414555
333	0.498001548
334	0.4979804751
335	0.4979317158
336	0.4979000597
337	0.4978669982
338	0.4978419617
339	0.497813308
340	0.4977643306
341	0.4977164322
342	0.4976916267
343	0.4976218139
344	0.4975971402
345	0.4975516291
346	0.497494819
347	0.4974597717
348	0.4974332793
349	0.4973970881
350	0.4973508776
351	0.4973165883
352	0.4971942053
353	0.497161491
354	0.4971246276
355	0.4970800222
356	0.4970223923
357	0.4969950116
358	0.4969648812
359	0.4969464342
360	0.4968913969
361	0.4968527469
362	0.4968373088
363	0.4968333922
364	0.4967965983
365	0.4967112678
366	0.4966692212
367	0.4966386494
368	0.4965937165
369	0.4965501337
370	0.4965273949
371	0.4965025351
372	0.4964644272
373	0.4964278569
374	0.4963953062
375	0.4963584869
376	0.4963340068
377	0.4963060283
378	0.4962748435
379	0.4962291313
