iter	Passed	Remaining
0	53	26816
1	69	17365
2	71	11860
3	73	9114
4	75	7461
5	77	6348
6	78	5561
7	80	4965
8	82	4506
9	84	4134
10	86	3832
11	87	3578
12	89	3362
13	91	3182
14	93	3024
15	95	2885
16	97	2765
17	99	2657
18	101	2561
19	103	2475
20	105	2398
21	106	2324
22	108	2259
23	110	2197
24	112	2142
25	114	2089
26	116	2041
27	118	1995
28	125	2036
29	127	1996
30	130	1977
31	133	1945
32	135	1914
33	145	1998
34	149	1983
35	152	1965
36	154	1937
37	158	1923
38	160	1902
39	163	1884
40	166	1867
41	170	1857
42	176	1873
43	183	1899
44	186	1886
45	193	1911
46	202	1949
47	206	1948
48	212	1956
49	216	1944
50	224	1973
51	226	1950
52	228	1926
53	239	1979
54	241	1957
55	245	1946
56	251	1956
57	253	1935
58	261	1954
59	263	1935
60	274	1972
61	277	1957
62	281	1952
63	285	1946
64	288	1927
65	290	1909
66	292	1891
67	294	1873
68	307	1921
69	310	1904
70	318	1921
71	321	1909
72	325	1904
73	329	1897
74	333	1891
75	338	1888
76	342	1882
77	347	1880
78	351	1870
79	355	1866
80	359	1857
81	364	1858
82	368	1849
83	372	1847
84	378	1846
85	381	1835
86	385	1831
87	389	1824
88	393	1816
89	399	1817
90	401	1805
91	407	1805
92	410	1794
93	412	1781
94	414	1767
95	416	1754
96	419	1741
97	421	1729
98	423	1716
99	426	1704
100	438	1733
101	443	1729
102	448	1728
103	451	1720
104	456	1717
105	462	1718
106	465	1710
107	467	1698
108	476	1708
109	479	1699
110	483	1694
111	485	1681
112	487	1669
113	489	1658
114	500	1675
115	505	1674
116	509	1666
117	513	1662
118	519	1661
119	522	1654
120	527	1653
121	531	1646
122	536	1644
123	539	1637
124	545	1636
125	547	1626
126	550	1616
127	552	1606
128	563	1620
129	567	1616
130	570	1606
131	572	1596
132	575	1586
133	577	1577
134	579	1567
135	592	1585
136	594	1576
137	597	1566
138	603	1567
139	610	1569
140	612	1559
141	616	1554
142	650	1624
143	652	1613
144	654	1603
145	656	1592
146	658	1582
147	660	1571
148	662	1561
149	664	1551
150	666	1541
151	668	1531
152	670	1521
153	672	1511
154	674	1501
155	676	1491
156	678	1482
157	681	1474
158	685	1469
159	718	1526
160	720	1517
161	722	1507
162	724	1498
163	726	1489
164	728	1479
165	730	1470
166	732	1460
167	734	1451
168	736	1442
169	738	1433
170	740	1424
171	742	1415
172	744	1407
173	748	1402
174	751	1395
175	753	1386
176	755	1378
177	762	1379
178	764	1370
179	766	1362
180	768	1354
181	777	1358
182	779	1350
183	781	1342
184	784	1334
185	794	1341
186	802	1343
187	804	1335
188	806	1327
189	813	1326
190	816	1320
191	819	1313
192	866	1378
193	901	1421
194	903	1413
195	905	1404
196	907	1396
197	909	1387
198	912	1379
199	914	1371
200	918	1365
201	920	1357
202	922	1349
203	924	1341
204	927	1334
205	929	1326
206	931	1318
207	934	1311
208	936	1303
209	938	1296
210	941	1288
211	943	1281
212	945	1273
213	947	1266
214	949	1259
215	952	1252
216	954	1244
217	956	1237
218	959	1230
219	961	1223
220	963	1216
221	965	1209
222	968	1202
223	970	1195
224	972	1188
225	974	1181
226	977	1175
227	979	1168
228	981	1161
229	983	1154
230	986	1148
231	988	1141
232	990	1135
233	992	1128
234	994	1121
235	996	1115
236	999	1108
237	1001	1102
238	1003	1095
239	1005	1089
240	1007	1082
241	1009	1075
242	1011	1069
243	1013	1062
244	1015	1056
245	1017	1050
246	1019	1043
247	1021	1037
248	1023	1031
249	1025	1025
250	1027	1018
251	1029	1012
252	1031	1006
253	1032	1000
254	1034	993
255	1036	987
256	1038	981
257	1040	976
258	1042	970
259	1044	964
260	1046	958
261	1048	952
262	1050	946
263	1052	940
264	1054	934
265	1056	929
266	1058	923
267	1060	917
268	1062	912
269	1064	906
270	1066	901
271	1068	895
272	1070	890
273	1072	884
274	1074	878
275	1076	873
276	1078	868
277	1080	862
278	1082	857
279	1084	852
280	1086	847
281	1088	841
282	1090	836
