iter	Passed	Remaining
0	99	99587
1	107	53710
2	113	37828
3	115	28717
4	118	23668
5	120	20036
6	122	17374
7	126	15687
8	127	14037
9	130	12878
10	131	11856
11	133	10968
12	137	10419
13	140	9893
14	143	9421
15	145	8928
16	146	8458
17	148	8115
18	152	7862
19	154	7577
20	155	7269
21	157	6983
22	158	6730
23	160	6512
24	161	6306
25	163	6108
26	166	6003
27	167	5827
28	169	5665
29	170	5516
30	171	5370
31	173	5241
32	174	5100
33	178	5081
34	180	4966
35	181	4856
36	182	4757
37	187	4744
38	189	4660
39	190	4575
40	192	4492
41	192	4400
42	193	4309
43	196	4278
44	198	4202
45	203	4221
46	204	4155
47	206	4089
48	207	4025
49	209	3978
50	210	3922
51	212	3873
52	214	3830
53	215	3778
54	217	3738
55	219	3698
56	220	3654
57	223	3628
58	224	3584
59	226	3541
60	227	3496
61	228	3458
62	230	3425
63	231	3384
64	232	3348
65	234	3316
66	235	3279
67	236	3244
68	238	3212
69	239	3181
70	240	3151
71	242	3122
72	243	3091
73	244	3057
74	245	3022
75	246	2994
76	247	2962
77	248	2938
78	249	2911
79	250	2885
80	252	2859
81	253	2833
82	253	2803
83	254	2777
84	255	2754
85	257	2732
86	257	2706
87	259	2685
88	260	2664
89	261	2643
90	262	2617
91	263	2596
92	264	2578
93	265	2558
94	266	2540
95	267	2523
96	269	2505
97	270	2487
98	271	2470
99	272	2453
100	273	2433
101	274	2417
102	275	2402
103	277	2387
104	278	2373
105	279	2358
106	280	2340
107	281	2325
108	282	2309
109	283	2296
110	284	2278
111	285	2265
112	286	2252
113	288	2238
114	289	2227
115	290	2212
116	291	2200
117	292	2189
118	293	2176
119	295	2164
120	296	2154
121	297	2141
122	298	2130
123	299	2118
124	300	2106
125	301	2094
126	302	2082
127	304	2071
128	305	2061
129	306	2051
130	307	2041
131	308	2031
132	310	2021
133	311	2011
134	312	2002
135	313	1991
136	314	1982
137	315	1973
138	317	1965
139	318	1956
140	319	1946
141	320	1938
142	321	1929
143	323	1920
144	324	1911
145	325	1904
146	326	1895
147	327	1886
148	328	1878
149	330	1870
150	331	1861
151	332	1853
152	333	1846
153	334	1839
154	336	1832
155	336	1823
156	337	1813
157	340	1812
158	341	1805
159	342	1796
160	343	1789
161	344	1782
162	345	1774
163	346	1767
164	347	1760
165	349	1753
166	349	1745
167	351	1740
168	352	1734
169	353	1728
170	355	1722
171	356	1716
172	357	1710
173	359	1705
174	359	1696
175	361	1690
176	362	1683
177	364	1681
178	365	1675
179	366	1669
180	367	1662
181	368	1657
182	369	1651
183	371	1645
184	372	1641
185	373	1636
186	375	1632
187	376	1627
188	378	1624
189	379	1619
190	381	1614
191	382	1609
192	384	1606
193	385	1600
194	386	1595
195	389	1597
196	390	1593
197	392	1588
198	393	1583
199	395	1580
200	397	1578
201	398	1573
202	399	1568
203	400	1563
204	402	1559
205	403	1555
206	404	1550
207	406	1545
208	407	1541
209	408	1538
210	410	1533
211	411	1529
212	412	1523
213	413	1519
214	415	1515
215	416	1511
216	417	1507
217	418	1501
218	419	1496
219	421	1492
220	422	1488
221	423	1483
222	424	1479
223	425	1475
224	427	1470
225	428	1467
226	429	1462
227	430	1458
228	432	1455
229	433	1451
230	434	1447
231	436	1443
232	437	1440
233	438	1435
234	440	1433
235	441	1429
236	442	1425
237	444	1422
